Stage,Part Code,Product,IN Date, Card Serial Number,FAULTS,Faults Observed,Repaired Date ,Key components,Repairing Corrective Action,Possible Reason,Fault  Category,Engineer
Initial,HE513353,M2000,01/07/2022,HE316061-34.16#D62210426580269,D31 Not Glowing,LED NOT GLOWING,04/07/2022,D20,D20 mounted,D20 Found damaged(Missing),COMPONENT MISSING,Surjeet
Initial,HE513353,M2000,04/07/2022,HE316061-34.16#D62210426580279,D31 Not Glowing,LED NOT GLOWING,04/07/2022,D29,D29 re- inserted,D29 found reverse ,REVERSE POLARITY,Surjeet
Initial,HE513353,M2000,04/07/2022,HE316061-34.16#D62210426580214,Abnormal Display,Abnormal Display,04/07/2022,X1,Shorting removed,Shorting in X1 conn.,SOLDERING ISSUE,Surjeet
Initial,HE513241,M2000,14/07/2022,HE316062-34.10#D72210431710073,HIGH CURRENT,HIGH CURRENT,14/07/2022,C110,Shorting removed,C110 SOLDER SHORT,SOLDERING ISSUE,Surjeet
Initial,HE513241,M2000,15/07/2022,HE316062-34.10#D72210431710195,BLACK DISPLAY,Abnormal Display,,,,,,
Initial,HE513241,M2000,16/07/2022,HE317161-30.22#D72210431760021,D20 Not Glowing,LED NOT GLOWING,16/07/2022,T1 ,PIN SOLDERING,T1 TRANSFORMER PIN7 DRY,SOLDERING ISSUE,Surjeet
Initial,HE513241,M2000,16/07/2022,HE317161-30.22#D62210427700981,Software Not Uploading,Program Not Uploading,16/07/2022,U13,U13 Changed,S/W NOT UPLOADING,COMPONENT FAULITY,Surjeet
Initial,HE513200,WCBMS,18/07/2022,HE317161-30.22#D72210431760558,Switch Broken,Switch Broken,18/07/2022,SW2,SW2 CHANGED,SWITCH FOUND BROKEN,COMPONENT FAULITY,Surjeet
Initial,HE513200,WCBMS,18/07/2022,HE317161-30.22#D72210431760401,D20 Not Glowing,LED NOT GLOWING,18/07/2022,U4,U4 RE MOUNTED,U4 REVERSE MOUNTED,REVERSE POLARITY,Surjeet
Initial,HE513200,WCBMS,20/07/2022,HE317161-30.22#D72210433430587,NGO,NGO,20/07/2022,D29,D29 CHANGED,D29 BROKEN,COMPONENT DAMAGE,Surjeet
Initial,HE513200,WCBMS,21/07/2022,HE317161-30.22#D72210431760512,Program Not Uploading,Program Not Uploading,,,,,,
Initial,HE513200,WCBMS,21/07/2022,HE317161-30.22#D72210431760516,Program Not Uploading,Program Not Uploading,,,,,,
Initial,HE513200,WCBMS,22/07/2022,HE317161-30.22#D72210433430134,NGO,NGO,,,,,,
Initial,HE513200,WCBMS,24/07/2022,HE317161-30.22#D72210433430741,Program Not Uploading,Program Not Uploading,,,,,,
Initial,HE513200,WCBMS,24/07/2022,HE317161-30.22#D72210433430743,NGO,NGO,,,,,,
Initial,HE513200,WCBMS,28/07/2022,HE317161-30.22#D72210433970283,NGO,NGO,,,,,,
Initial,HE513200,WCBMS,29/07/2022,HE317161-30.22#D72210433430943,sw 3 not press,Switch not working,,,,,,
Initial,HE513200,WCBMS,29/07/2022,HE317161-30.22#D72210433970207,program not uploading,Program Not Uploading,30/07/2022,SD,SD CARD CHANGE,COMPONENT FAULTY,COMPONENT FAULTY,Surjeet
Burn-in,HE513241,M2000,05/07/2022,HE513241#D62210429590293,Date and time wrong,Date and time wrong,08/07/2022,Y1,Y1 changed,"Clock not running, Y1 faulty",Component faulty,
ATS,HE513092,M1000,01/07/2022,HE513092#D62210429560085,RS232 FAIL,RS232 FAIL,04/07/2022,"C2,C20",Shorting removed,C2 & C20 solder short,SOLDERING ISSUE,Surjeet
ATS,HE513353,M2000,01/07/2022,HE513353#D62210427980091,CAN LOWER FAIL,CAN LOWER FAIL,08/07/2022,U2,U2 changed,Voltage not show,Component faulty,Surjeet
ATS,HE513353,M2000,04/07/2022,HE513353#D62210427980245,UNABLE TO LOGIN,UNABLE TO LOGIN,08/07/2022,OSC1,OSC1 changed,Ethernet LED not glowing,Component faulty,Surjeet
ATS,HE513200,WCBMS,15/07/2022,HE317161-30.22#D72210431760279,ATE NOT START,ATE NOT START,16/07/2022,JP1,Shorting removed,JP1 PIN1 &2 SOLDER  SHORT,SHORTING REMOVED,Surjeet
ATS,HE513200,WCBMS,15/07/2022,HE317161-30.22#D72210431760234,UNABLE TO LOGIN,UNABLE TO LOGIN,16/07/2022,SD,SD CARD CHANGE,ATE NOT START,Component faulty,Surjeet
ATS,HE513200,WCBMS,16/07/2022,HE317161-30.22#D72210431760132,rs 485 batt.1 FAIL,RS485 FAIL,16/07/2022,X1,X1 CONN. RE-INSERTED,X1 CONN. PIN BENT DURING INSERTION,Component faulty,Surjeet
ATS,HE513200,WCBMS,16/07/2022,HE317161-30.22#D72210431760257,ATE NOT /hang,ATE NOT START,16/07/2022,SD,SD CARD CHANGE,ATE NOT START,Component faulty,Surjeet
ATS,HE513200,WCBMS,16/07/2022,HE317161-30.22#D72210431760251,led not running,LED NOT GLOWING,,,,,,
ATS,HE513200,WCBMS,16/07/2022,HE317161-30.22#D72210431760614,SW3 FAIL,Switch not working,16/07/2022,SW3,Shorting removed,ATE NOT START,SOLDERING ISSUE,Surjeet
