Stage,Part Code,Product,Date,Card Serial Number,Faults Observed,Repaired Date,Repairing Corrective Action,Possible Reason,Fault Category
Pre-initial,HE512865,3kW_SMR,02/05/2022,HE315441#d42210420950629,blast,03/05/2022,"d5,q1,d3,c11,f1,u1,d4",r16 broken,COMPONENT dAMAGE/MISS ISSUE
Pre-initial,HE512865,3kW_SMR,02/05/2022,HE315441#d42210420950627,BLAST,02/05/2022,"d5,q1,d3,c11,f1,u1,d4",r17 broken,COMPONENT dAMAGE/MISS ISSUE
Pre-initial,HE513180,Solar_SMR,06/05/2022,HE315731#d52210421420399,o/p fail,06/05/2022,q17,comp. fail,COMPONENT FAIL ISSUE
Pre-initial,HE513140,2kW_SMR,11/05/2022,HE315471#d52210422040387,blast,11/05/2022,"q3,q15",,COMPONENT FAIL ISSUE
Pre-initial,HE513140,2kW_SMR,13/05/2022,HE315471#d52210422040739,BLAST,13/05/2022,"q3,q15,u25,u26,r99,u6,d18,d21",r99 comp burnt,COMPONENT FAIL ISSUE
Pre-initial,HE512865,3kW_SMR,17/05/2022,HE315441#d52210421680027,o/p fail,18/05/2022,"u24,u26",comp. missing,COMPONENT dAMAGE/MISS ISSUE
Pre-initial,HE512865,3kW_SMR,17/05/2022,HE315441#d52210421680758,O/P FAIL,17/05/2022,cc,repaired cc,CONTROL CARd ISSUE
Pre-initial,HE512865,3kW_SMR,17/05/2022,HE315441#d52210421680705,O/P FAIL,17/05/2022,cc,repaired cc,CONTROL CARd ISSUE
Pre-initial,HE512865,3kW_SMR,18/05/2022,HE315441#d52210421680814,O/P dECREASE ON LOAd,18/05/2022,"u24,u26,r72,c106 ","u24,u26 one side not soldered",SOLdERING ISSUE
Pre-initial,HE512865,3kW_SMR,18/05/2022,HE315441#d52210422560062,CAN ERROR,18/05/2022,cc,Program not uploading,CONTROL CARd ISSUE
Pre-initial,HE512865,3kW_SMR,19/05/2022,HE315441#d52210422560435,BLAST,20/05/2022,r35 ,R35 burn due to solder short b/w line to earth(c1 to l1),SOLdERING ISSUE
Pre-initial,HE512865,3kW_SMR,23/05/2022,HE315441#d52210422870438,BLAST,24/05/2022,"d3,d4,d5,u1,u6,u7,q2,q15,u24,u26,r76,r77,r80,r81,r84,r85,r88,r89,c38,r38",c38 comp. broken,COMPONENT dAMAGE/MISS ISSUE
Pre-initial,HE512865,3kW_SMR,25/05/2022,HE315441#d52210422870807,BLAST,26/05/2022,"d3,d4,d5,q1,u1,u6,u7,q2,q3,q15,q16,u25,u27,r90,r91,r92,r93,r101,r102,r103,r104,r100,f1,f2,control card",3.3v short & dC-dC heat sink insulator puncture,CONTROL CARd ISSUE
Pre-initial,HE512865,3kW_SMR,25/05/2022,HE315441#d52210422560960,ngo,25/05/2022,cc,comp. fail,CONTROL CARd ISSUE
Pre-initial,HE512865,3kW_SMR,25/05/2022,HE315441#d52210422870768,CAN ERROR,25/05/2022,L5 ,broken,COMPONENT dAMAGE/MISS ISSUE
Initial,HE512865,3kW_SMR,04/05/2022,HE512865#d42210420930940,CAN ERROR,04/05/2022,d30,broken,COMPONENT dAMAGE/MISS ISSUE
Initial,HE512865,3kW_SMR,04/05/2022,HE512865#d42210420930981,ngo,05/05/2022,c34,component fail,COMPONENT FAIL ISSUE
Initial,HE512865,3kW_SMR,09/05/2022,HE512865#d52210421660186,o/p fail,09/05/2022,r18,comp. broken,COMPONENT dAMAGE/MISS ISSUE
Initial,HE512865,3kW_SMR,09/05/2022,HE512865#d52210421660159,o/p fail,09/05/2022,r17,comp. broken,COMPONENT dAMAGE/MISS ISSUE
Initial,HE512865,3kW_SMR,09/05/2022,HE512865#d52210421660463,blast,10/05/2022,"d20,q3,q16,u25,u27,u7,u6,r73,r99,r90,r91,r92,r93,cc",d20 comp. broken,COMPONENT dAMAGE/MISS ISSUE
